"name","n_kde_cells","n_na_cells","percent_na"
"Bjørnøya_NOS.4214408_2017",634,176,27.7602523659306
"Bjørnøya_NOS.4214433_2016",483,120,24.8447204968944
"Bjørnøya_NOS.4214433_2017",530,147,27.7358490566038
"Bjørnøya_NOS.4214434_2016",432,88,20.3703703703704
"Bjørnøya_NOS.4214434_2017",506,177,34.9802371541502
"Bjørnøya_NOS.4214435_2016",339,73,21.5339233038348
"Bjørnøya_NOS.4214435_2017",478,158,33.0543933054393
"Bjørnøya_NOS.4214435_2018",407,93,22.8501228501229
"Bjørnøya_NOS.4282351_2017",556,179,32.1942446043165
"Bjørnøya_NOS.4282351_2018",442,114,25.7918552036199
"Bjørnøya_NOS.4282353_2017",534,103,19.2883895131086
"Bjørnøya_NOS.4282356_2017",536,178,33.2089552238806
"Bjørnøya_NOS.4282356_2018",513,180,35.0877192982456
"Bjørnøya_NOS.4282357_2017",405,119,29.3827160493827
"Bjørnøya_NOS.4282357_2018",416,155,37.2596153846154
"Bjørnøya_NOS.4282358_2017",390,60,15.3846153846154
"Bjørnøya_NOS.4282358_2018",525,146,27.8095238095238
"Bjørnøya_NOS.4282361_2017",500,140,28
"Bjørnøya_NOS.4282361_2018",366,48,13.1147540983607
"Bjørnøya_NOS.4282362_2017",388,71,18.2989690721649
"Bjørnøya_NOS.4282362_2018",437,66,15.1029748283753
"Bjørnøya_NOS.5109523_2014",456,108,23.6842105263158
"Eynhallow_GBT.FA82356_2008",562,81,14.4128113879004
"Eynhallow_GBT.FA82356_2009",456,5,1.09649122807018
"Eynhallow_GBT.FA82356_2010",328,3,0.914634146341463
"Eynhallow_GBT.FC14562_2014",752,16,2.12765957446809
"Eynhallow_GBT.FC14562_2015",869,17,1.95627157652474
"Eynhallow_GBT.FC14562_2016",777,232,29.8584298584299
"Eynhallow_GBT.FC14562_2017",458,22,4.80349344978166
"Eynhallow_GBT.FC14562_2018",423,4,0.945626477541371
"Eynhallow_GBT.FC14766_2006",323,6,1.85758513931889
"Eynhallow_GBT.FC14766_2007",367,8,2.17983651226158
"Eynhallow_GBT.FC14766_2008",269,8,2.97397769516729
"Eynhallow_GBT.FC14766_2009",356,8,2.24719101123596
"Eynhallow_GBT.FC14766_2010",233,4,1.71673819742489
"Eynhallow_GBT.FC14766_2011",283,8,2.82685512367491
